startYear,runtimeMinutes,numVotes,averageRating
1943.0,117.0,1748,7.0
1943.0,69.0,10438,7.1
1943.0,86.0,1020,6.5
1943.0,91.0,2021,6.4
1943.0,89.0,4757,7.1
1943.0,66.0,4368,6.9
1943.0,163.0,12398,8.1
1943.0,124.0,2443,7.2
1944.0,45.0,1319,7.3
1943.0,104.0,5633,7.7
1943.0,100.0,2704,7.1
1943.0,110.0,1756,7.2
1943.0,108.0,1189,5.9
1943.0,93.0,1157,6.6
1943.0,110.0,2805,7.5
1943.0,116.0,3825,5.5
1942.0,75.0,20000,8.0
1944.0,87.0,4031,7.2
1943.0,92.0,6107,6.5
1943.0,94.0,1004,6.9
1943.0,97.0,7645,7.5
1943.0,71.0,5454,6.8
1943.0,108.0,56593,7.8
1943.0,68.0,3946,7.0
1943.0,71.0,3605,6.8
1943.0,126.0,1449,7.5
1943.0,80.0,4298,6.1
1943.0,156.0,5871,7.6
1943.0,132.0,1406,6.2
1943.0,78.0,1846,7.3
1943.0,79.0,4079,6.8
1943.0,76.0,1993,6.4
1943.0,127.0,1506,7.0
1943.0,103.0,2746,7.6
1943.0,85.0,1327,6.2
1943.0,97.0,8755,8.1
1943.0,114.0,3688,7.3
1943.0,98.0,1231,6.7
1944.0,87.0,1035,6.4
1944.0,118.0,63367,8.0
1944.0,101.0,1404,6.6
1943.0,83.0,1183,7.1
1944.0,112.0,1648,7.2
1944.0,74.0,1033,6.5
1944.0,72.0,1548,5.9
1944.0,90.0,1290,6.4
1944.0,124.0,4775,7.5
1944.0,95.0,2356,6.9
1944.0,67.0,1240,6.5
1944.0,63.0,1411,6.5
1944.0,66.0,1245,6.7
1944.0,93.0,1144,6.6
1944.0,107.0,4509,6.8
1944.0,70.0,5479,6.9
1944.0,86.0,1135,6.2
1944.0,107.0,135985,8.3
1944.0,148.0,1035,6.1
1944.0,91.0,1365,6.4
1944.0,97.0,5582,7.8
1944.0,100.0,3172,6.6
1944.0,114.0,22726,7.8
1946.0,170.0,55312,8.0
1944.0,126.0,9956,7.0
1944.0,101.0,4074,7.6
1944.0,137.0,5492,7.1
1944.0,101.0,3015,7.3
1944.0,124.0,1754,7.1
1944.0,71.0,5714,6.3
1944.0,85.0,1917,7.2
1944.0,85.0,1640,5.7
1944.0,75.0,1792,6.8
1944.0,78.0,1678,5.9
1944.0,85.0,1891,7.1
1943.0,97.0,7558,7.5
1944.0,137.0,2291,7.2
1944.0,88.0,40697,8.0
1944.0,97.0,25343,7.7
1944.0,84.0,2959,7.1
1944.0,89.0,1074,6.6
1944.0,95.0,3020,7.3
1944.0,113.0,19506,7.6
1944.0,86.0,6301,7.2
1943.0,98.0,6504,7.6
1944.0,146.0,5168,7.7
1944.0,124.0,1314,7.1
1944.0,60.0,2397,5.6
1944.0,61.0,2390,5.8
1944.0,95.0,11434,7.6
1944.0,123.0,6172,7.3
1944.0,113.0,2149,6.5
1944.0,75.0,1027,5.4
1944.0,109.0,3794,6.9
1944.0,69.0,3686,7.2
1944.0,94.0,1776,7.0
1943.0,69.0,1852,6.2
1944.0,74.0,4532,7.3
1944.0,112.0,2219,7.4
1944.0,177.0,4100,7.5
1943.0,63.0,3918,7.1
1944.0,112.0,2042,7.5
1944.0,85.0,1630,7.4
1944.0,87.0,2679,7.0
1944.0,100.0,4703,7.4
1944.0,138.0,5135,7.3
1944.0,115.0,2757,7.3
1944.0,100.0,29562,7.8
1944.0,102.0,1039,7.1
1944.0,99.0,9335,7.3
1944.0,115.0,1658,6.9
1944.0,126.0,1363,7.1
1944.0,154.0,1377,6.4
1944.0,97.0,1211,6.5
1944.0,107.0,13010,7.7
1945.0,83.0,2069,6.6
1945.0,90.0,1712,6.5
1945.0,140.0,7567,7.1
1945.0,97.0,11971,7.5
1945.0,95.0,3496,6.7
1945.0,126.0,6762,7.3
1945.0,94.0,1732,6.1
1945.0,78.0,7827,7.3
1945.0,79.0,1020,6.6
1945.0,86.0,33536,8.0
1945.0,61.0,1005,6.4
1945.0,90.0,1503,6.4
1945.0,101.0,7378,7.4
1945.0,90.0,2869,7.4
1945.0,86.0,3101,7.2
1945.0,115.0,2326,7.5
1945.0,102.0,1835,6.7
1945.0,82.0,1235,6.0
1945.0,86.0,3709,7.3
1945.0,103.0,10267,7.7
1945.0,68.0,13965,7.4
1945.0,61.0,1147,6.0
1945.0,70.0,1646,6.6
1945.0,91.0,2656,7.5
1945.0,189.0,17482,8.4
1945.0,98.0,4414,7.1
1945.0,91.0,1217,6.3
1945.0,77.0,2385,7.4
1945.0,90.0,1193,6.7
1945.0,78.0,1139,6.7
1945.0,67.0,4557,5.8
1945.0,69.0,4208,7.3
1945.0,88.0,2562,6.6
1944.0,68.0,2639,2.5
1945.0,91.0,7463,7.5
1945.0,71.0,3867,6.6
1944.0,103.0,8631,7.8
1945.0,66.0,1074,6.5
1945.0,94.0,1542,6.8
1945.0,110.0,10241,7.6
1945.0,101.0,32083,7.9
1945.0,101.0,1380,7.0
1945.0,111.0,21389,8.0
1945.0,91.0,1537,7.1
1945.0,65.0,2325,7.1
1945.0,76.0,1734,7.2
1945.0,142.0,4207,7.3
1945.0,105.0,1574,7.5
1945.0,102.0,1033,7.0
1945.0,110.0,11195,7.5
